epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.008,0.88097,2.19656,0.90954,0.72647,0.07947,0.0336,0.00884,3.38281,2.56869,1.95262,0.000474916,0.000474916,0.000474916
2,165.575,0.87376,2.19085,0.88956,0.71873,0.09051,0.05907,0.01016,3.48437,3.35913,2.07371,0.00091358,0.00091358,0.00091358
3,246.582,0.87928,2.19231,0.89508,0.73198,0.06181,0.03079,0.00679,3.53562,3.17001,2.25116,0.00131452,0.00131452,0.00131452
4,326.565,0.78625,2.02575,0.8883,0.76082,0.06778,0.03801,0.01039,3.38946,3.2623,2.1017,0.00125923,0.00125923,0.00125923
5,406.755,0.71339,1.98964,0.87368,0.74404,0.08609,0.04812,0.01209,3.43272,2.91625,2.15571,0.00120265,0.00120265,0.00120265
6,486.982,0.69633,1.80786,0.8741,0.39165,0.06402,0.0336,0.00748,3.44991,3.34389,2.03858,0.00114606,0.00114606,0.00114606
7,566.87,0.60941,1.89288,0.85796,0.77629,0.07726,0.05164,0.01298,3.39092,2.71864,2.18939,0.00108947,0.00108947,0.00108947
8,647.291,0.65388,1.81819,0.8791,0.41247,0.07726,0.04023,0.01078,3.41502,2.81009,2.18924,0.00103288,0.00103288,0.00103288
9,727.271,0.61473,1.67069,0.87329,0.74728,0.08873,0.04461,0.01231,3.40562,2.58846,2.35856,0.000976293,0.000976293,0.000976293
10,807.18,0.55587,1.66495,0.86751,0.73587,0.08389,0.03438,0.00909,3.40526,3.22887,2.27238,0.000919704,0.000919704,0.000919704
11,887.129,0.60237,1.62833,0.8724,0.39995,0.08168,0.03528,0.00818,3.46022,2.8086,2.25124,0.000863116,0.000863116,0.000863116
12,967.066,0.54725,1.6219,0.87053,0.40182,0.06402,0.03147,0.00704,3.51233,2.76466,2.34329,0.000806528,0.000806528,0.000806528
13,1047.11,0.57011,1.6043,0.86361,0.39801,0.07726,0.03066,0.00825,3.45304,3.43126,2.24677,0.000749939,0.000749939,0.000749939
14,1127.25,0.56249,1.60962,0.85805,0.39364,0.07704,0.02934,0.00643,3.44043,3.63748,2.1094,0.000693351,0.000693351,0.000693351
15,1207.16,0.51002,1.44852,0.86623,0.39665,0.07726,0.03205,0.00702,3.48521,3.17507,2.19486,0.000636762,0.000636762,0.000636762
